StockNumber,Symbol,CompanyName,MarketType,Price,Timestamp
1,0001,CKH HOLDINGS,HK,54.25,2025-12-10 14:47:03.677383
5,0005,HSBC HOLDINGS,HK,111.7,2025-12-10 14:47:04.073269
11,0011,HANG SENG BANK,HK,152.8,2025-12-10 14:47:04.468805
66,0066,MTR CORPORATION,HK,30.36,2025-12-10 14:47:06.661507
388,0388,HKEX,HK,402.8,2025-12-10 14:47:07.054280
684,0684,ALLAN INT'L,HK,0.55,2025-11-23 21:30:06
762,0762,CHINA UNICOM,HK,8.64,2025-12-10 14:47:07.805337
939,0939,CCB,HK,7.57,2025-12-10 14:47:08.162057
998,0998,CITIC BANK,HK,6.98,2025-12-10 14:47:08.500061
1099,1099,SINOPHARM,HK,19.96,2025-12-10 14:47:08.854315
1398,1398,ICBC,HK,6.08,2025-12-10 14:47:09.197790
1810,1810,XIAOMI-W,HK,41.78,2025-12-10 14:47:09.521247
2388,2388,BOC HONG KONG,HK,37.36,2025-12-10 14:47:09.881630
2628,2628,CHINA LIFE,HK,27.14,2025-12-10 14:47:10.258042
3988,3988,BANK OF CHINA,HK,4.39,2025-12-10 14:47:10.610015
9888,9888,BIDU-SW,HK,123.6,2025-12-10 14:47:10.934851
9988,9988,BABA-W,HK,153.2,2025-12-10 14:47:11.253829
19,AAPL,Apple Inc.,US,278.17,2025-12-10 14:47:05.227470
21,CRCL,"Circle Internet Group, Inc.",US,85.97,2025-12-10 14:47:05.846282
22,IBM,International Business Machines,US,308.76,2025-12-10 14:47:06.299457
20,NVDA,NVIDIA Corporation,US,184.79,2025-12-10 14:47:05.548182
18,TSLA,"Tesla, Inc.",US,445.87,2025-12-10 14:47:04.798237
